FE model,accuracies_standard,accuracies_std_standard,ind_accuracies_standard,ind_accuracies_std_standard,accuracies_single,accuracies_std_single,ind_accuracies_single,ind_accuracies_std_single,accuracies_body,accuracies_std_body,ind_accuracies_body,ind_accuracies_std_body,generalization_standard,generalization_std_standard,generalization_ind_standard,generalization_ind_std_standard
trocr-large-stage1,0.72496921182266,0.06478757993835492,0.689100985221675,0.056320704334698574,0.6815886699507389,0.04477850124879331,0.6815886699507389,0.04477850124879331,0.6265086206896552,0.050501893370589725,0.6265086206896552,0.050501893370589725,0.1506465517241379,0.10597669448065998,0.1271428571428571,0.09058026524815127
trocr-large-stage1-inter,0.7341440886699507,0.07082006950344862,0.6943103448275862,0.04949048494581857,0.6814963054187191,0.04816067150039111,0.6814963054187191,0.04816067150039111,0.6521551724137931,0.08161373813234667,0.6521551724137931,0.08161373813234667,0.10914408866995073,0.12060525270169607,0.07002463054187191,0.08447550019803765
trocr-small-handwritten,0.6205665024630542,0.0547391281599774,0.5788608374384236,0.035101806626203776,0.5278633004926109,0.04339849974602555,0.5278633004926109,0.04339849974602555,0.6038485221674877,0.04105348026598444,0.6038485221674877,0.04105348026598444,0.023891625615763558,0.08312388239727228,0.02514162561576354,0.053363978537318224
trocr-small-stage1,0.6321120689655173,0.06035557892813832,0.6076169950738917,0.03845312010914424,0.5995689655172415,0.05608169396402226,0.5995689655172415,0.05608169396402226,0.6104987684729063,0.056703506568164454,0.6104987684729063,0.056703506568164454,0.024907635467980305,0.10655137878454994,0.020443349753694585,0.06515163602452799
vgg11,0.6707820197044334,0.06234891740696057,0.6390086206896551,0.06076902558611597,0.6198891625615763,0.09854287036175516,0.6198891625615763,0.09854287036175516,0.6574507389162562,0.04309381489816291,0.6574507389162562,0.04309381489816291,0.1131773399014778,0.08348050634983975,0.07644704433497537,0.05557477855765935
vgg16,0.6424261083743843,0.06087939933239814,0.5994211822660098,0.03792057905610618,0.5752770935960592,0.04378512905184286,0.5752770935960592,0.04378512905184286,0.6245997536945812,0.05832845183437193,0.6245997536945812,0.05832845183437193,0.08565270935960588,0.09345779504271129,0.04982758620689656,0.055927974888352903
vgg16_512,0.6689655172413793,0.07445174610768603,0.6342118226600986,0.05033761504445948,0.625646551724138,0.06648228375880896,0.625646551724138,0.06648228375880896,0.6262931034482758,0.060211127900705014,0.6262931034482758,0.060211127900705014,0.10166256157635471,0.07382460527922553,0.0697229064039409,0.059357143764218065
vit-base-patch16-224,0.7218288177339902,0.04558714458885741,0.6607635467980295,0.035631750222478595,0.6356527093596058,0.052097962993429434,0.6356527093596058,0.052097962993429434,0.6487684729064039,0.02809184567267841,0.6487684729064039,0.02809184567267841,0.10043103448275863,0.06837967547242803,0.07470443349753694,0.049939378790984756
vit-base-patch16-224-in21k,0.7126847290640393,0.04041534381609606,0.667487684729064,0.04283138983337294,0.6276169950738917,0.054225532576276825,0.6276169950738917,0.054225532576276825,0.6719211822660098,0.0497497696959437,0.6719211822660098,0.0497497696959437,0.11788793103448274,0.08218043943290416,0.08674261083743842,0.06093704171448758
vit-base-patch32-224-in21k,0.6983990147783252,0.028604917629270497,0.6717118226600985,0.030933440564424083,0.6530788177339901,0.0500380915472696,0.6530788177339901,0.0500380915472696,0.6469827586206895,0.05230950290811337,0.6469827586206895,0.05230950290811337,0.1131773399014778,0.08501052317763652,0.07926108374384237,0.0742172566306562
vit-huge-patch14-224-in21k,0.7061576354679804,0.059311200190630915,0.6857512315270936,0.042826159458851806,0.6610221674876847,0.04429390544367285,0.6610221674876847,0.04429390544367285,0.6557573891625615,0.06037913251565043,0.6557573891625615,0.06037913251565043,0.10862068965517238,0.08787560691822877,0.07839901477832513,0.06416836911020403
vit-large-patch16-224-in21k,0.6967980295566503,0.04604346959118595,0.6673706896551723,0.02676158884654092,0.6683805418719213,0.06106196011591506,0.6683805418719213,0.06106196011591506,0.644334975369458,0.05022981443618014,0.644334975369458,0.05022981443618014,0.06807266009852217,0.10798647181146188,0.06032019704433498,0.07100961727362634
vitstr_base,0.5999999999999999,0.0603240577003972,0.570006157635468,0.04143642560475031,0.5488916256157635,0.03542909960112499,0.5488916256157635,0.03542909960112499,0.5362376847290641,0.036905779316138226,0.5362376847290641,0.036905779316138226,0.02450738916256157,0.09142079442888046,0.016773399014778347,0.052100286053325194
vitstr_base_224,0.5485529556650246,0.03950497488492548,0.5551416256157635,0.0371972585794621,0.5733066502463053,0.0668068615581947,0.5733066502463053,0.0668068615581947,0.5592056650246305,0.03003987490186957,0.5592056650246305,0.03003987490186957,0.019242610837438435,0.09344135739539794,0.011249999999999993,0.05803553984633594
vitstr_small,0.6539100985221675,0.046465561714076405,0.6126539408866994,0.03699499241150596,0.5867302955665025,0.022302650501267497,0.5867302955665025,0.022302650501267497,0.5618226600985221,0.04704425437797754,0.5618226600985221,0.04704425437797754,0.05945197044334973,0.06988264520077377,0.04317118226600984,0.056566446841609164
vitstr_small_224,0.5591133004926108,0.03488288264275369,0.55560960591133,0.02777707175562325,0.5758004926108375,0.057764200367000015,0.5758004926108375,0.057764200367000015,0.5555110837438424,0.034438210690532885,0.5555110837438424,0.034438210690532885,0.03907019704433497,0.08713097159983849,0.01794334975369459,0.05451468573655296
